artista,musica,tom,sequencia
alexandre-pires,so-por-um-momento,D,A9/7+;D7+;Bm7;D/E;D9;E7;A9;A9;D9;Bm7;D/E;D7+;E;A9;D9;E/D;C#m7;F#m7;Bm7;D/E;Em7;G/A;D9;E/D;C#m7;F#m7;Bm7;C#m7;D9;D/E;A7+;Em;G/A;D7+;E/D;C#m7;F#m7;Bm7;D/E;Em7;G/A;D7+;E/D;C#m7;F#m7;Bm7;C#m7;D7+;D/E;A9/7+;A9/7+;F#m7;G9;A9
aline-barros,ao-unico,C,C;G/B;Am;Am/G;F;C;Dm/C;G;G7;C;G/B;Am;Am/G;F;C/E;F;G;C;C7;F;Fm7;C;G;C;Am;Em;F;G;C;E7;Am;Em;F;G;C;E7;F;G;E/G#;Am9;Am9/7;F;G;C;G/B;Am
aline-barros,casa-do-pai,G,G;D;Em;C9;G;D;Em;C9;D;C9;D;C9;D;C9;D;Em;D;C;D;Em;D;C;D;D#;Em;D;C;Em7/B;Am;G;D;D;D#;Em;D;C;Em7/B;Am;G;D;G;Am;G;D;Em;C9;G;D;Em;C9;D;C9;D;C9;D;C9;D;Em;D;C;D;Em;D;C;D;D#;Em;D;C;Em7/B;Am;G;D;D;D#;Em;D;C;Em7/B;Am;G;D;Em;Em;D;C;B;Am;G;D;D#;Em;D;C;Em7/B;Am;G;D;D;D#;Em;D;C;Em7/B;Am;G;D;G;Am;G;Am
aline-barros,consagracao,D,A9;A4;A9;A4;A;E/G#;Em/G;D/F#;D/F;A;E;A;E/G#;Em/G;D/F#;D/F;A;E;A;E/G#;Em/G;D/F#;D/F;A;B;E;D;E;F#m;D;E;A;G/B;A/C#;D;E/D;C#m;F#;D;E;A;E/G#;F#m;F#m7/E;D;E;F#4;F#;D;E;A;E/G#;F#m;F#m7/E;D;E;A;F#m;D;E;F#m;F#m7/E;F#m6/Eb;D;E;A;A;E;F#m;C#m;D;A/C#;Bm;Bm/A;G;D/F#;E;A;E/G#;F#m;C#m;D;A/C#;Bm;Bm/A;G;D/F#;E;A
aline-barros,lugar-seguro,F,F5;C5/E;D5;Bb5;Dm;Bb;F;Dm;Bb;F;F;Dm;Bb;F;C;Dm;Bb;F;C;Dm;Bb;F;C;Dm;Bb;C;F;Dm;C;Bb;F;Dm;Bb;F;C;Dm;Bb;F;C;Dm;Bb
aline-barros,poder-pra-salvar,E,A;E;C#m;B;A;E;C#m;B;A;E;C#m;B;A;B;A;B;E;B;A;E;C#m;B;E;B;A;E;C#m;B;A;E;C#m;B;A;E;C#m;B;A;E;C#m;B;A;B;A;B;E;B;A;E;C#m;B;E;B;A;E;C#m;B;A;E;B;C#m;A;E;B;C#m;A;E;B;C#m
aline-barros,rendido-estou,D,D;A;Bm;G;D;Bm;A;G;D;D;Bm;A;G;D;G;D;A9;Bm;G;Bm;A4;D;D;Bm;A;G;D;G;D;A9;Bm;G;Bm;A9;A;G;D;A4;A;A9;Bm;G;Bm;A4;G;D;A;Em;G;D;A4;D;A;Bm;A;G;A;G;A9;D;A;Bm;A;G;A;G;A9;G;D;A9;Bm;G;Bm;A9;A;G;D;A9;Bm;G;Bm;A9;D;A;Bm;A;G;A;G;A4;D;A;Bm;A;G;A;G;A4;D
aline-barros,ressuscita-me,D,C6;G/B;Bb6;D/A;A4;D;D;A;Bm;G;D;A;Bm;G;G;D/F#;Em;Em;B/D#;Bm/D;A/C#;G;D;D;A/C#;Bm;A;G;D/F#;Em;A4;A;D;A4;A;Bm;G;D;A4;A;Bm;G;D9/F#;Em;Em/D#;D6;A;G;D;A/C#;Bm7;Bm7/A;G9;D9/F#;Em7;A4;A;D;A;Bm;G;D;G;A4;A;C;G/B;A4;A;D;D;A;Bm;G;D;A;Bm;G;G;D/F#;Em;Em;B/D#;Bm/D;A/C#;G;D;D;A/C#;Bm;A;G;D/F#;Em;A4;A;D;A;Bm;G;D;G;A4;A;C;G/B;A4;A;D;G/B;A/C#;D;D;A;Bm;G;D/F#;A;Bm;G;E;B;C#m;A;E;A;B;D;A;B;E;B;E;D;A/C#;B;E
aline-barros,sonda-me-usa-me,C,C;G/B;F;G;Em7;Am;Am7/G;F;G/B;C;C9;G/B;Am;Am7/G;F;C/E;Dm;G/B;C9;G/B;Am7;F;G/F;Em7;Am;Am7/G;F;G;F/A;G4;C;G/B;Am;Am7/G;F;C/G;F/A;G/B;C;G/B;Am;Am7/G;F;C/E;F;G;Am9;F;G;C9;Am;F;Dm7;F;G;F/A;G/B;C;G/B;Am;Am7/G;F;C/G;F/A;G/B;C;G/B;Am;Am7/G;F;C/E;F;G;Am9;F;G;C9;Am;F;Dm7;F;G;Am9;Am7/G;F;G4;G;C9
aline-barros,soube-que-me-amava,F#,B;E/B;B;B/D#;E;B;E;B;B/D#;E;F#;G#m;F#;E;B/D#;C#m;F#;B;B/D#;E;G#m;F#;G#m;E;B/D#;C#m7;F#/A#;B/D#;E;G#m;F#;G#m;E;B/D#;C#m7;F#4;F#;B;B;E/B;F#/A#;B;B/D#;E;F#;B;B/D#;E;F#;G#m;F#;E;B/D#;C#m7;F#;B;B/D#;E;G#m;F#;G#m;E;B/D#;C#m7;C#m7/B;F#/A#;B/D#;E;G#m;F#;G#m;B/D#;E;B/D#;C#m7;F#;G#m;G#m7;F#/A#;B;B/D#;C#m;E;F#;G#m;F#/Bb;G#/C;Bb/D;C;F;Am7;G;Am7;C;F;C/E;Dm7;G/B;C/E;F;Am7;G;G/F;C/E;G/B;C;F;C/E;Dm7;G4;C;F/C;F;C
