artista,musica,tom,sequencia
thalles-roberto,o-rei-esta-voltando,D,D;G;Em;A;G;D;A;D;D7;G;Em;A;A7;G;D;D;D7;G;Em;A;A7;G;D;A;D;D7;G;Em;A;A7;G;D;D;D7;G;Em;A;G;D/F#;Em;D;D;D7;G;Em;A;A7;G;D;D;D7;G;Em;A;A7;G;D;A;D;D7;G;Em;A;A7;G;D;D;D7;G;Em;A;G;D/F#;Em;D;D;D7;G;Em;A;A7;G;D;D;D7;G;Em;A;A7;G;D;A;D;D7;G;Em;A;A7;G;D;A;D;D7;G;Em;A;G;D/F#;Em;D
the-animals,house-of-the-rising-sun,C,Am;C;D;F;E;Am;C;D;F;Am;E;Am;E;Am;C;D;F;Am;C;E;E;Am;C;D;F;Am;E;Am;C;D;F;Am;E;Am;E;Am;C;D;F;Am;C;E;E;Am;C;D;F;Am;E;Am;C;D;F;Am;E;Am;E;Am;C;D;F;Am;C;E;E;Am;C;D;F;Am;E;Am;C;D;F;Am;E;Am;E;Am;Am;C;D;F;Am;C;E;E;Am;C;D;F;Am;E;Am;C;D;F;Am;E;Am;E;Am;C;D;F;Am;C;E;E;Am;C;D;F;Am;E;Am;C;D;F;Am;E;Am;E;Am;C;D;F;Am;C;E;E;Am;C;D;F;Am;E;Am;C;D;F;Am;E;Am;E;Am
the-beatles,all-my-loving,E,F#m;B7;E;C#m;A;F#m;D;B7;F#m;B7;E;C#m;A;B7;E;F#m;B7;E;C#m;A;F#m;D;B7;F#m;B7;E;C#m;A;B7;E;C#m;C#m7+;E;C#m;C#m7+;E;A;A;E;E;F#m;B7;E;E;F#m;B7;E;C#m;A;F#m;D;B7;F#m;B7;E;C#m;A;B7;E;C#m;C#m7+;E;C#m;C#m7+;E;C#m;C#m7+;E;C#m;C#m7+;E;E
the-beatles,come-together,D,Dm;D5;D5;A5;G5;D5;A5;G5;B5;A5;G5;A5;D5;A5;G5;B5;A5;G5;A5;D5;A5;G5;B5;A5;G5;A5
the-beatles,help,D,Bm;G;E;A;Bm;G;E;A;A;C#m;F#m;D;G;A;A;C#m;F#m;D;G;A;Bm;G;E;A;C#m;F#m;D;G;A;A;C#m;F#m;D;G;A;Bm;G;E;A;A;C#m;F#m;D;G;A;A;C#m;F#m;D;G;A;Bm;G;E;A;F#m;A
the-beatles,here-comes-the-sun-483,C,D;G;A7;D;G;E7;D;D;G;A7;D;G;A7;D;G;E7;D;D;G;A7;D;G;A7;D;G;E7;D;D;A7;D;G;A7;D;G;A7;D;G;E7;D;D;A7;D;G;A7;D;G;A7;D;G;E7;D;D;A7;D;A7;F;C;G/B;G;D;A7;F;C;G/B;G;D;A7;F;C;G/B;G;D;A7;A7;A7;A7(9);F;C;G/B;G;D;A7;F;C;G/B;G;D;A7;F;C;G/B;G;D;A7;F;C;G/B;G;D;A7;F;C;G/B;G;D;A7;A7;A9;D;G;A7;D;G;A7;D;F;C;G/B;G;D;D;G;E7;D;D;G;E7;D;D;F;C;G/B;G;D
the-beatles,hey-jude,F,F;C;C7;F;Bb;F;C;F;F;C;C7;F;Bb;F;C;F;F7;Bb;F/A;Gm;F;C/E;F;F7;Bb;F/A;Gm;F;C/E;F;F;C;F;C;C7;F;Bb;F;C;F;F7;Bb;F/A;Gm;F;C/E;F;F7;Bb;F/A;Gm;F;C/E;F;F;C;F;C;C7;F;Bb;F;C;F;F;Eb;Bb;F;F;Eb;Bb;F
the-beatles,let-it-be,C,C;G;Am;F;F6;C;G;F;Em/F;F6;C;C;G;Am;F;F6;C;G;F;Em/F;F6;C;C;G;Am;F;F6;C;G;F;Em/F;F6;C;Am;Am/G;F;C;G;F;Em/F;F6;C;C;G;Am;F;F6;C;G;F;Em/F;F6;C;C;G;Am;F;F6;C;G;F;Em/F;F6;C;Am;Am/G;F;C;G;F;Em/F;F6;C;Am;Am/G;F;C;G;F;Em/F;F6;C;F;Em/F;F6;C;Bb;Am;G;F;C/E;C;G;Am;F;C;G;F;Em/F;F6;C;C;G;Am;F;C;G;F;C;C;G;Am;F;C;G;F;C;Am;Am/G;F;C;G;F;Em/F;F6;C;C;G;Am;F;F6;C;G;F;Em/F;F6;C;C;G;Am;F;F6;C;G;F;Em/F;F6;C;Am;Am/G;F;C;G;F;Em/F;F6;C;Am;Am/G;F;C;G;F;Em/F;F6;C;F;Em/F;F6;C;Bb;Am;G;F;C;F;Em/F;F6;C;Bb;Am;G;F;C/E;Em/F
the-beatles,something,G,F;Eb;G/D;C;F;Eb;G/D;C;C;C7M;C7;F;C/E;D;D7;G;Am;G/B;Am;Am7M;Am7;D7(9);F;Eb;G/D;C;C;C7M;C7;F;C/E;D;D7;G;Am;G/B;Am;Am7M;Am7;D7(9);F;Eb;G/D;A;F;Eb;G/D;C;A/E;A7M/E;F#m;F#m/E;D;G;A5;Ab5;G5;Gb5;F5;E5;A/E;A7M/E;F#m;F#m/E;D;G;C;C;C7M;C7;F;D;D7;G;A;G/B;Am;Am7M;Am7;D7(9);C7M;C/E;D;G;Am;G/B;F;Eb;G/D;C;F;Eb;G/D;C;C;C7M;C7;F;C/E;D;D7;G;Am;G/B;Am;Am7M;Am7;D7(9);F;Eb;G/D;A;F;Eb;G/D;C;F;Eb;G/D;C
the-beatles,yesterday,G,G;G;F#m;B7;Em;Em;Em/D;D7;G;G/F#;Em;A;C;G;B7/F#;B7;Am;D;G;B7/F#;B7;Am;D
the-calling,wherever-you-will-go,D,C;G4/B;Am7;F6(9);G4;C;G4/B;Am7;F6(9);G4;C;G4/B;Am7;F6(9);G4;C;G4/B;Am7;F6(9);G4;C;G4/B;Am7;F7M/C;C;C9;G4(6);G6;Am7;A9;F7M/C;C4;C;C9;G4(6);G6;Am7;A9;F7M/C;C4;C;G4/B;Am7;F6(9);G4;C;G4/B;Am7;F6(9);G4;C;G4/B;Am7;F6(9);G4;C;G4/B;Am7;F7M/C;C;C9;G4(6);G6;Am7;A9;F7M/C;C4;C;C9;G4(6);G6;Am7;A9;F7M/C;C4;Am;A9;F7M/C;G4(6);G6;Em;Am;A9;F7M/C;G4(6);G6;Em;C;G4/B;Am7;F6(9);G4;C;G4/B;Am7;F7M/C;C;C9;G4(6);G6;Am;A9;F7M/C;C4;C;C9;G4(6);G6;Am;A9;F7M/C;C4;C;C9;G4(6);G6;Am;A9;F7M/C;C4;C;C9;G4(6);G6;Am;A9;F7M/C;C4;C;C9;G4(6);G6;Am;A9;F7M/C;C4;C;C9;G4(6);G6;Am;A9;F7M/C
the-cranberries,linger,D,A6;A;A6;A;C;G;D;A;C;G;D;A;C;G;D;A;C;G;D;A;C;G;D;A;C;G;D;A;C;G;D
the-cranberries,zombie,G,Em;C;G;D/F#;E5;C5;G5;F#5;Em;C;G;D/F#;Em;C;G;D/F#;Em;C;G;D/F#;Em;C;G;D/F#;Em;C;G;D/F#;Em;C;G;D/F#;Em;C;G;D/F#;Em;C;G;D/F#;Em;C;G;D/F#;Em;C;G;D/F#;Em;C;G;D/F#
the-eagles,hotel-california,D,Bm;B7(4/9);Em;F#7;Bm;B7(4/9);Em;F#7;Bm;F#7;A;E7;G;D;Em;F#7;Bm;F#7;A;E7;G;D;Em;F#7;Bm;F#7;A;E7;G;D;Em;F#7;Bm;F#7;A;E7;G;D;Em;F#7;D;F#7;D;Em;F#7;D;F#7;D;Em;F#7;Bm;F#7;A;E;G;D;Em;F#7;Bm;F#7;A;E;G;D;Em;F#7;G;D;F#7;Bm;G;D;Em;F#7;Bm;F#7;A;E;G;D;Em;F#7;Bm
the-kinks,all-day-and-all-of-the-night,F,F;G;F;Bb;G;F;G;F;Bb;G;F;G;F;Bb;G;F;G;F;Bb;G;Bb;F;A;G;C;A;C;D;C;F;D;C;D;C;F;D;C;D;C;F;D;C;D;C;F;D;D;C;F;D;F;G;G;F;F;Bb;G
the-police,every-breath-you-take,G,G9;Em9;C5(9);D5(9);G9;G9;Em9;C5(9);D5(9);G9;Em9;C5(9);D5(9);Em9;G9;Em9;C5(9);D5(9);G9;G9;Em9;C5(9);D5(9);Em9;Em9;G9;G9;C5(9);Bb5(9);G9;A;D5(9);C5(9);Bb5(9);G9;A;D5(9);G9;Em9;C5(9);D5(9);Em9;Eb5(9);F5(9);Eb5(9);F5(9);Eb5(9);G9;Em9;C5(9);D5(9);Em9;G9;Em9;C5(9);D5(9);G9;Eb5(9);F5(9);Eb5(9);F5(9);Eb5(9);C5(9);Bb5(9);G9;A;D5(9);G9;Em9;C5(9);D5(9);Em9;C5(9);D5(9);Em9;G9;G9;Em9;C5(9);G9;G9
the-weeknd,cant-feel-my-face,C,G;F;Am;G;F;Am;G;F;Am;G;F;Am;G;F;Am;G;F;Am;G;F;Am;F;Am;G;F;Am;G;F;Am;G;F;Am;G;F;Am;G;F;Am;G;F;Am;G;F;Am;G;F;Am;G;F;Am;G;F;Am;G;F;Am;G;F;Am;G;F;Am;G;F;Am;G;F;Am;G;F;G;F
the-white-stripes,seven-nation-army,G
thiago-brado,minha-essencia,C,C;C7+;Am;A9;C;C7+;C;F;Am;A9;Am;F;C;C7+;C;F7+;Am;A9;Am;G;C;C7+;C;F;Am;A9;Am;Dm;G;C;C7+;C;F;Am;Dm;G;Am;Em;F;Dm;G;G7;C;C7+;C;F7+;Am;A9;Am;F;Dm;G;G7;C;C7+;C;F7+;Am;A9;Am;F;Dm;G;G7;C;C;C7+;F7+;Am;A9;F7+;C;C7+;F7+;Am;A9;G;C;C7+;Am;A9;C;C7+;F7+;Am;A9;F7+;C;C7+;F7+;Am;A9;G;C;C7+;C;F;Am;A9;Am;Dm;G;C;C7+;C;F;Am;Dm;G;Am;Em;F;Dm;G;G7;C;C7+;C;F7+;Am;A9;Am;F;Dm;G;G7;C;C7+;C;F7+;Am;A9;Am;F;Dm;G;G7;C;C;C7+;F7+;Am;A9;F7+;C;C7+;F7+;Am;A9;G
thiago-grulha,pra-sempre,G,C9;C9/B;C9;Em7;C9;C9/B;Am7;D4;D;C9;G;C9;G;Am7;Em9;Am7;D9;C9;G;C9;G;Am7;Em9;Am7;D9;G;D/F#;Em7;C9;G/B;Am7;Em7;C9;G;D/F#;Em7;C9;G/B;Am7;Em7;C9;D;C9;G;C9;G;Am7;Em9;Am7;D9;C9;G;C9;G;Am7;Em9;Am7;D4;G;D/F#;Em7;C9;G/B;Am7;Em7;C9;G;D/F#;Em7;C9;G/B;Am7;Em7;C9;G/B;C9;G/B;C9;G
thiaguinho,a-amizade-e-tudo,C,Cm7;Dm7(B5);B5;G7(5+);Cm7;Dm7(B5);B5;G7sus4;C7M;Am7;F/C;G7sus4;F/A;G/B;G7sus4;C5+;C9;Am7;F/C;G7sus4;F/A;G/B;G7sus4;Am7;D7;Gm7;C5+;F;Em7;Dm7;G7sus4;E7;Am7;D7;Gm7;C5+;F7M;Em7;Ab7M;G7sus4;C9;E7;F7M;Em7;Ab7M;G7sus4;C9;E7;F7M;Em7;Am7;Ab7M;C;Ab7M;Am;Ab7M
thiaguinho,ainda-bem,C,G7;C9;G7;C9;G9;C9;G7;C9;G9;C9;G7;C9;G9;C9;G9;C9;G9;C9;G7;G;C9;G7;C9;G9;C9;G7;C9;G9;C9;G9;C9;G9;C9;G9;C9;G9;C9;G9;C9;G9;C9;G9;C9;G9;C9;G9;C9;G9;C9;G9;C9;G9
thiaguinho,buque-de-flores,F,F7M;Bb7M;F7M;Bb7M;C7;F7M;Bb7M;F7M;Bb7M;Dm7;G;Dm7;G;C7/9;F7M;Am7;Gm7;C7;Dm7;G;Dm7;G;C7/9;Fm7;Am7M;Gm7;C7;F7M;Dm7;Bb;C7;F7M;Dm;Gm7;C7;F7M;Dm7;Bb7M;C7;F7M;Dm;Gm7;C7;F7M
thiaguinho,caraca-muleke,C,C9;C7/4;F7+;G7/4;C9;Gb7/5b;F7+;G7/4;C9;C7/4;F7+;G7/4;C9;Gb7/5b;F7+;G7/4;G7/4;G7/5+;C9;C7/4;F7+;G7;C9;C7;F7+;G7
thiaguinho,desencana,G,D7+;D5/F#;Csus9;G/B;G;D7+;D7+;D5/F#;Csus9;G;D7+;D7+;D5/F#;Csus9;G/B;D7+;D7+;D5/F#;Csus9;G;D7+;D7+;D5/F#;Csus9;G/B;D7+;D7+;D5/F#;Csus9;G/B;G/A;D7+;D7+;D5/F#;Csus9;G;D7+;D7+;D5/F#;Csus9;G;D7+;D7+;D5/F#;Csus9;G/B;D7+;D7+;D5/F#;Csus9;C7+/9;G/B;D7+;D5/F#;C7+;G/B;D7+;D5/F#;C7+;G
thiaguinho,dividido,E,E;C#m;D#m;G#m;B7;E;C#m;D#m;G#m;B7;E;C#m;B;F#;F#m;B7;E;C#m;B;G#m;C#m;F#;B;B7;E;C#m;G#m;F#m;E;C#m;G#m;G#m;G#m;C#m;F#;B;B7
thiaguinho,historia-de-amor-part-rodriguinho,A,D6;E7/9;C#m7;F#m7;D6;E7/9;C#m7;F#m7;D6;E7/9;C#m7;F#m7;D6;E7/9;C#m7;F#m7;D6;E7/9;C#m7;F#m7;D6;E7/9;C#m7;F#m7;D6;E7/9;C#m7;F#m7;D6;E7;C#m7;F#m7;D6;E7/9;C#m7;F#m7;D6;E7;C#m7;F#m7;D6;E7/9;C#m7;F#m7;D6;E7/9;C#m7;F#m7;D6;E7/9;C#m7;F#m7;D6;E7/9;C#m7;F#m7
thiaguinho,para-pra-pensar,A,E;C;D;E;A;Am;E;A;B7;E;G#m;A;Am7;E;G#m;F#m;G#m;A;B7;E;G#m;A;B7;G#m;E7;F#7;B7;E;C#m7;G#m;A;Am7;G#m;E7;F#7;B7;E;G#m;A;B7;G#m;E7;F#7;B7;E;C;D;E
thiaguinho,puxando,D,A7+;G/A;D;E4(7/9);A7+;G/A;D7+;E4(7/9);A7+;G/A;D7+;E4(7/9);A7+;G/A;D7+;E4(7/9);F#m;C#m7;D7+;E4(7/9);F#m;C#m7;D7+;F#4/G#;G11+;F#m;C#m7;D7+;E4(7/9);F#m;C#m7;D7+;E4(7/9);E4(7/9);E4(7/9);E4(7/9);A7+;G/A;D7+;E4(7/9);A7+;D7+;E4(7/9);A7+;G/A;D7+;E4(7/9);A7+;G/A;D7+;E4(7/9);F#m;C#m7;D7+;E4(7/9)
thiaguinho,quer-beijinho,A#,Bb;Eb;Bb;Eb;F7;Bb;Bb7;Eb;Bb;Cm;D7;Gm;Dm;Gm;Gm;Dm;Cm;F7;Bb;Bb7;Eb;F7;Bb;Bb7;Eb;Cm;Gm;Dm;Gm;Dm;Cm;F7;Bb;F;Gm;Eb;F7;Gm;Dm;Eb;Cm;F7;Bb;F;Gm;Eb;F7;Gm;Dm;Eb;Cm;F7;Bb;Bb7;Eb;F7;B;Bb7;Eb;F7;Bb
thiaguinho,robin-hood-da-paixao,F,F7+;Bb7+;F7+;C7/9;F7+;C7/9;F7+;Bb7+;F7+;C7/9;F7+;Bb7+;F7+;C7/9;F7+;Gm7;C7/9;F7+;F/D;Gm7;Bb7+;F7+;C7/9;F7+;C7+;Dm7;F7+;Bb7+;F7+;Bb7+;F7+;C7/9;F7+
thiaguinho,sera-que-e-amor,G,E;A9;C;D;E;C9;E;A9;C;D;E;E;A;C;D;E;C;D;A;E;C;C;B7;C;Am;Bm;Em;C;Am;E;C;D;E
thiaguinho,simples-desejo,F,C7+;Eb;F;C7+;Eb;F;C7+;Eb;F;C7+;Eb;F;C7+;Eb;F;C7+;Eb;F;C7+;Eb;F;C7+;Eb;F;C7+;Eb;F;C7+;Eb;F;C7+;Eb;F;C7+;Eb;F;C7+;Eb;F;C7+;Eb;F;C7+;Eb;F
thiaguinho,subita-paixao,G,G7+;Gm6;D7+;Am7;D7/9;G7+;Gm6;D7+;Am7;D7/9;G7+;Gm6;D7+;D7;G7+;Gm6;D7+;Am7;D7/9;G7+;Gm6;F#m;B7/4;B7;E7;Em7;A7;D;Am7;D7/9
thiaguinho,vai-novinha,G,G7+;C7+;Am7;Bm7;D7/9;G7+;C7+;G7+;C7+;G7+;C7+;Am7;Bm7;D7/9;G7+;C7+;G7+;C7+;G7+;C7+;Am7;Bm7;C7+;G7+;C7+;Am7;Bm7;C7+;G7+;C7+;Am7;Bm7;C7+;G7+;C7+;Am7;Bm7;C7+;G7+;C7+;Am7;Bm7;C7+;G7+;C7+;G7+;C7+;G7+;C7+;Am7;Bm7;C7+
tiago-iorc,coisa-linda,C,C;C4;C;C4;C;G4;C;C4;C;G4;Am7;G4;Am7/F#;C4;G4;C;C;C/B;Am7;G4;Am7/F#;C4;G4;C;C;C/B;Am7;G4;Am7/F#;C4;G4;C;C4;C;G4;Am7;G4;C4;C;G4;Am7;G4;Am7/F#;C4;G4;C;C;C/B;Am7;G4;Am7/F#;C4;G4;C;C;C/B;Am7;G4;Am7/F#;C4;G4;C;C4;G4;C/B;Am7;Am7/G;Am7/F#;C4;G4;C;C4;G4;C;C;C/B;Am7;G4;Am7/F#;C4;G4;C;C;C/B;Am7;G4;Am7/F#;C4;G4;C;C;C/B;Am7;G4;Am7/F#;C4;G4;C
tiago-iorc,dia-especial,C,C;F;Am;F;C;F;Am;F;C;F;Am;F;C;F;Am;F;F;C;F;Em;Am;F;C;Am;F;Em;Am;F;C;F;Am;F;C;F;Am;F;F;C;F;Em;Am;F;C;Am;F;Em;Am;F;C;F;Em;Am;F;C;Am;F;Em;Am;F;C;Am;F;Em;Am;F;C;Am;F;Em;Am;F;C
tiao-carreiro-e-pardinho,amargurado,C,C;G;F;G;C;C;C7;F;G;C;Am;Dm;G;C;G;F;C;G;F;C;F;G;F;G;C;G;F;C;G;F;C;F;G;F;G;C
tiao-carreiro-e-pardinho,chora-viola,E,E7;A;B7;B7;A;B7;E;B7;E;E7;A;B7;B7;A;B7;E;B7;E;E7;A;B7;B7;A;B7;E;B7;E;E7;A;B7;B7;A;B7;E;B7;E
tiao-carreiro-e-pardinho,pagode-em-brasilia,E,E;B7;E;E7;A;B7;A;B7;E;B7;E;B7;E;B7;E;B7;E;A;E;B7;E;E;B7;E;E7;A;B7;A;B7;E;B7;E;B7;E;B7;E;B7;E;A;B7;E;B7;E;E;B7;E;E7;A;B7;A;B7;E;B7;E;B7;E;B7;E;B7;E;B7;B7;E;A;B7;E;B7;E;B7;E;B7;E;E7;A;E7;A;B7;B7;E;B7;E
tiao-carreiro-e-pardinho,saudade,A,A;A7;D;E7;A;E7;A;E7;A;E7;A;A;E7;A;E7;A;A;A7;D;A7;D;E7;A;E7;D;E7;A;A;A7;D;E7;A;E7;D;E7;A;D;E7;A;E;A
tie,a-noite-la-notte,F,F;C;Em;Dm;F;C;Em;Dm;F;C;Em;Dm;F;C;Em;Am;F;C;Em;Am;F;C;Em;Dm;F;C;Em;Dm;F;C;Em;Am;F;C;Em;Am;F;C;Em;Am;F;C;Em;Bb9;F;C;Em;Dm;F;C;Em;Am;F;C;Em;F;C;F;C;F;C
tim-maia,azul-da-cor-do-mar,A,A7M;Bm7;C#m7;Bm7;E7(4/9);A7M;E7(4/9);A7M;Bm7;C#m7;Bm7;E7(4/9);A7M;Bm7;C#m7;D7M;E7;A7M;Bm7;C#m7;Bm7;E7(4/9);A7M;E7(4/9);A7M;Bm7;C#m7;Bm7;E7(4/9);A7M;Bm7;C#m7;D7M;E7;A7M;Bm7;C#m7;Bm7;E7(4/9);A7M;E7(4/9);A7M;Bm7;C#m7;Bm7;E7(4/9);A7M;Bm7;C#m7;D7M;E7
tim-maia,ela-partiu,C,Dm;Am;Dm;Dm;Am;Am;Am;Dm;Am;C;Em;F;F#°;C;Am;F;G;Dm;Am;Dm;Am;Dm;Am;Dm;Am;C;Em;F;F#°;C;Am;F;G;C;Em;F;F#°;C;Am;F;G
tim-maia,eu-sei-que-vou-te-amar,C,D;Fº;Em;A7;Am;D7;G;Gm;D;Fº;Em;A7;D;B7;E7;Bb;A;D;Fº;Em;A7;Am;D7;G;Gm;D;Fº;Am;B7;Em;A7;D;D;Fº;Am;B7;Em;A7;D;D;Fº;Em;A7;D;B7;E7;Bb;A;D;Fº;Em;A7;Am;D7;G;Gm;D;Fº;Am;B7;Em;A7;D
tim-maia,gostava-tanto-de-voce,A,A;Bm7;A7M;Bm7;C#m7;Bm7;A7M;Bm7;C#m7;Bm7;E7;A7M;Bm7;A7M;Bm7;A7M;Bm7;E7;A7M;A7M;Bm7;C#m7;Bm7;A7M;Bm7;C#m7;Bm7;E7;A7M;Bm7;A7M;Bm7;A7M;Bm7;E7;A7M;A;A7+;A7+;Bm;A7+;Bm;A7+;Bm;A7+;Bm;A7+;A;A7+;A7+;Bm;E;A7+;Bm;A7+;A7+;Bm;A7+;Bm;A7+;Bm;A7+;Bm;A7+
tim-maia,nao-quero-dinheiro,A,A;A;F#m;A;F#m;E4;A;E4;A;F#m;A;F#m;Dm;E4;A7(4);A7;D;E/D;C#m;F#m;Bm;E4;A;A7;A7(4);D;E/D;C#m;F#m;Bm;E4;A;E4;A;F#m;A;F#m;E4;A;E4;A;F#m;A;F#m;Dm;E4;A7(4);A7
tim-maia,o-descobridor-dos-sete-mares,C,Gm7;C7/9;Gm7;C7(9);Gm7;C7(9);Gm7;C7(9);Gm7;C7(9);Gm7;C7(9);Gm7;C7(9);Gm7;C7(9);Gm7;C7(9);Dm7;G7;Cm7;F;Dm7;G7;Cm7;F;F#°;Gm7;C7(9);Gm7;C7(9);Gm7;C7(9);Gm7;C7(9);Gm7;C7(9);Gm7;C7(9);Gm7;C7(9);Gm7;C7(9);Gm7;C7(9)
tim-maia,primavera,A,E;A;A7+;C#m7;Bm7;E7/9;A7+;C#m7;Bm7;E7/9;D7M;D#m5b/7;A7+;D#m5b/7;A7+;Bm7;E;A7+;Bm7;A7+;Bm7;A7+;Bm7;E;A7+;Bm7;E;A7+;Bm7;E;A7+
tim-maia,um-dia-de-domingo,E,E;G#m;F#m;B7;E;G#m;F#m;B7;E;C#7;F#m;B7;G#m;C#m;F#m;B7;E;E7;C#7;F#m;B7;E;G#m;C#m;F#m;B7;E;E7;A;B7;G#m;C#m;F#m;B7;E;E7;A;B7;G#m;C#m;F#m;B7;E
tim-maia,voce,E,Em;Em;Em/D;Am;Am7;Am;B7;Em;F#m7(b5);B7;Em;Em/D;Am;Am7;Am;F7M;B7;E;F#m7;G#m7;F#m7;B7(4);E;F#m7;G#m7;F#m7;B7(4);E7;A;E7;A;G#m7;F#m7;G#m7;F#m7;B7;E7;A;E7;A;E7;A;E7;A;E7;A;E7;A;E;A;E;A;E;A;E
titas,e-preciso-saber-viver,D,D;D7M;D7;G;Gm6;D;Bm;E;G;A7;D;D7M;D7;G;Gm6;D;Bm;E;G;A7;D;D7M;D7;G;Gm6;D;Bm;E;G;A7;G;D;Bm;G;D;Bm;G;D;Bm;G;D;Bm;E;G;A7;D;D7M;D7;G;Gm6;D;Bm;E;G;A7;D;D7M;D7;G;Gm6;D;Bm;E;G;A7;D;D7M;D7;G;Gm6;D;Bm;E;G;A7;G;D;Bm;G;D;Bm;G;D;Bm;G;D;Bm;E;G;A7;G;D;Bm;G;D;Bm;G;D;Bm;G;D;Bm;E;G;A7;G;D;Bm;G;D;Bm;G;D;Bm;G;D;Bm;E;G;A7
titas,enquanto-houver-sol,E,E;E4;A;B;A;B;A;G#m;F#m;A;B;E;A;B;A;B;A;G#m;F#m;A;B;E;A;Am;E;G#m;A;Am;E;E4;E;E7(4/9);E;A;B;A;B;A;G#m;F#m;A;B;E;A;B;A;B;A;G#m;F#m;A;B;E;A;Am;E;G#m;A;Am;E;E4;E;E7(4/9);E;A;Am;E;G#m;A;Am;E;E4;E
titas,epitafio,G,G5;D/F#;Em;G7;C;Cm;G5;G5;D/F#;Em;G7;C;Cm;G5;G5;D/F#;Em;G7;C;Cm;G5;G5;D/F#;Em;G7;C;Cm;G5;C;Cm;G5;E7;A7;D7;C;Cm;G5;E7;Cm;G5;C;Cm;G5;E7;A7;D7;C;Cm;G5;E7;Cm;G5;G5;Am7;Cm;G5;Am7;Cm;G5;Am7;Cm;G5;G5;Am7;Cm;G5;D/F#;Em;G7;C;Cm;G5;G5;D/F#;Em;G7;C;Cm;G5;G5;D/F#;Em;G7;C;Cm;G5;C;Cm;G5;Em;A7;D7;C;Cm;G5;Em;Cm;G5;C;Cm;G5;Em;A7;D7;C;Cm;G5;Em;Cm;G5;G5;Am7;Cm;G5;G;Am7;Cm;G5;Am7;Cm;G5;G5;Am7;Cm;G5;D/F#;Em;G7;C;Cm;G5
titas,flores,E,D5;B;E5;D5;B;E5;B5;A5;B5;A5;D5;B;E5;B5;A5;D5;B;E5;B5;A5;D5;B;E5;B5;A5;D5;B;E5;B5;A5;D5;B;E5;B5;A5;E;A;E;A;E;A;E;A;B;B;E;A;E
titas,marvin,B,G#/C;Bm;E9;F#;E;F#;E;F#;E;F#;E;Bm;E;Bm;E;B;B7M/A#;B7/A;E/G#;G#/C;C#m;F#;E;F#;E;F#;E;F#;E;Bm;E;Bm;E;B;B7M/A#;B7/A;E/G#;G#/C;C#m;F#;E;F#;E;F#;E;Bm;E;Bm;E;B;B7M/A#;B7/A;E/G#;G#/C;C#m;G#/B#;G#/C
tom-jobim,a-felicidade,C,C7+;Gb°;B7;Em7;C7+;Gb°;B7;Em7;C7+;Bm7/5-;E7/9-;Am7;Am6;Gm7;C7;F7+;Fm6;Am7;D7/9;Am7;D7/9;Am7;C7+;Gm7;C7/9;F7+
tom-jobim,a-violeira,B,A;A/E;A;A/E;E;A/E;E;A/E;E;A/E;E;A#7+;A7+;Am6;G#7;C#m7/11;F#7/13;B7/9;E;A/E;E;A/E;E;A/E;E;A#7+;A7+;Am6;G#7;C#m7/11;F#7/13;B7/9;E;C#m7;F#7;B;G#m7;C#m7;F#7;B;D#m7;G#7;C#;A#m7;C#m7;F#7;B;F#7/11;E;A/E;E;A/E;E;A/E;E;A#7+;A7+;Am6;G#7;C#m7/11;F#7/13;B7/9;E;C#m7;F#7;B;G#m7;C#m7;F#7;B;Bm7;E7;A;Am;D7;G;B7/9;E;A/E;E;A/E;E;A/E;E;A#7+;A7+;Am6;G#7;C#m7/11;F#7/13;B7/9;E;A/E;E;A/E;E;A/E;E;A#7+;A7+;Am6;G#7;C#m7/11;F#7/13;B7/9;E;C#m7;F#7;B;G#m7;C#m7;F#7;B;Bm7;E7;A;Am;D7;G;B7/9;E;A/E;E;A/E;E;A/E;E;A#7+;A7+;Am6;G#7;C#m7/11;F#7/13;B7/9;E
tom-jobim,agua-de-beber,D,Bm7;C#7;F#7(b13);Bm7;C#7;F#7(b13);Bm7;G7M;Bm7;F#m7(b5);Bm7;C#7;F#7(b13);Bm7;C#7;F#7(b13);Bm7;G7M;Bm7;Bm7;C#7;F#7(b13);Bm7;E7(9);Em7(9);A7(13);D7M(9);D6(9);E;C#7;F#7(b13);Bm7;D7(9);C#7;F#7(4);Bm7;B7;E7;Bm7;B7;E7;Em7(9);Bm7;Bm7;C#7;F#7(b13);Bm7;E7(9);Em7(9);A7(13);D7M(9);D6(9);C#7;F#7(b13);Bm7;D7(9);C#7;F#7(4);Bm7;B7;E7;Bm7;B7;E7;Em7(9);Bm7;C#7;F#7(b13);Bm7;E7(9);Em7(9);A7(13);D7M(9);D6(9);C#7;F#7(b13);Bm7;D7(9);C#7;F#7(4);Bm7;B7;E7;Bm7;B7;E7;Em7(9)
